lasku_id;sopimus_id;edellinen_lasku_id;laskun_nro;muistutus_nro;pvm;erapaiva;maksu_pvm;laskutuslisa;viivastyskorko;viitenumero
1;1;;1001;0;2026-01-20;2026-02-03;;;;10016
2;1;1;1002;1;2026-02-05;2026-02-19;;5;;10029
3;3;;1003;0;2026-01-10;2026-01-24;;;;10032
4;3;;1004;0;2026-01-10;2027-01-01;;;;10045
5;5;;2001;0;2026-01-05;2026-01-19;;;;20019
6;5;5;2002;1;2026-01-21;2026-02-04;;5;;20022
7;5;6;2003;2;2026-02-06;2026-02-20;;10;12.45;20035
8;3;;3001;0;2026-01-01;2026-01-15;2026-01-12;;;30011
9;8;;4001;0;2026-01-25;2026-02-08;2026-01-26;;;40014
10;7;;4002;0;2026-02-01;2026-02-08;;;;40027
11;9;;5001;0;2026-02-20;2026-02-08;;;;50111
12;9;11;5002;2;2026-02-20;2026-02-27;;10;12.45;50122
13;10;;5003;0;2026-02-20;2026-02-27;;;;50123
14;10;13;5004;1;2026-02-20;2026-02-27;;5;;51113
